transaction_time,transaction_amount,device_type,channel,card_present,customer_age,merchant_category,is_fraud
6,1728.21,0,1,0,55,1,0
19,2528.32,0,1,1,21,1,0
14,114.93,1,0,1,50,4,0
10,526.77,0,0,1,44,3,0
7,895.75,0,1,1,52,2,0
20,3821.33,1,1,0,35,0,0
6,8427.44,1,1,1,50,4,0
18,2938.77,1,1,0,48,5,0
22,2481.14,0,0,0,46,5,0
10,2308.52,0,1,0,46,5,0
10,1295.6,3,0,0,63,5,0
23,5275.8,2,1,1,52,4,0
20,2334.6,3,1,0,36,4,0
3,784.5,3,0,1,56,4,0
7,441.44,2,0,0,66,0,0
23,12703.41,3,0,0,18,0,0
2,52.88,3,1,0,32,1,0
21,8128.96,1,1,1,50,4,0
20,738.87,3,1,1,64,3,0
1,3214.88,0,1,0,68,1,0
23,1076.6,1,1,1,33,1,0
11,5894.28,3,1,0,30,2,0
5,2352.14,0,1,0,62,5,1
1,456.16,2,0,0,46,5,0
20,943.45,0,0,0,37,0,0
0,1158.39,3,0,0,41,1,0
11,6512.63,2,0,0,27,1,0
21,4366.78,1,0,0,67,5,0
11,5308.6,1,0,1,66,0,0
16,161.0,1,0,0,38,1,0
9,2593.82,3,1,1,39,5,0
15,21307.41,2,0,0,40,2,0
14,4614.14,0,1,1,56,5,0
14,385.91,1,0,0,43,5,0
18,3407.24,2,0,1,50,3,0
11,4103.29,1,0,1,46,5,0
22,2166.17,3,0,1,45,0,0
19,246.08,0,1,0,36,4,0
2,105.91,3,0,0,41,3,0
4,8332.67,0,0,1,63,0,0
18,893.25,3,0,0,39,1,0
6,1429.12,3,0,1,30,5,0
20,4758.3,3,1,1,57,0,0
8,3506.4,1,1,1,56,1,0
6,10379.57,3,0,0,19,0,0
17,292.31,0,0,1,69,2,0
3,3681.92,0,0,1,60,0,0
13,257.42,0,1,1,20,2,0
17,0.5,3,1,0,27,3,0
8,384.29,1,1,0,28,3,0
20,2877.01,3,1,0,56,3,0
1,3382.82,2,1,0,27,1,1
19,1730.58,3,1,1,22,1,0
14,141.5,1,0,1,30,2,0
6,3015.85,1,0,1,39,4,0
11,269.18,0,1,1,32,1,0
7,458.5,0,1,0,43,2,0
14,2155.86,1,1,1,37,0,0
2,1248.24,2,0,1,23,0,0
13,1875.09,3,1,0,67,3,0
16,3024.21,0,0,0,38,2,0
3,523.09,0,0,0,21,3,0
17,6707.21,3,1,1,21,3,0
7,2459.4,2,1,1,67,4,0
3,67.02,0,0,1,61,3,0
1,2970.24,2,1,0,36,4,0
5,1866.27,0,1,1,29,3,0
21,3628.35,2,0,0,63,3,0
9,4597.9,0,0,0,66,4,0
3,8383.02,3,0,0,63,5,0
21,19213.3,2,0,1,50,3,0
17,2392.97,2,1,1,23,4,0
11,2473.24,3,1,1,22,2,0
1,68.1,0,1,1,58,2,0
9,6011.23,3,0,0,22,0,0
3,87.42,0,1,0,41,0,0
13,3004.44,0,0,0,44,4,0
15,311.34,3,1,0,66,4,0
14,1009.94,2,0,0,69,0,0
7,453.62,3,1,1,23,3,0
13,443.39,3,0,0,61,4,0
22,232.59,2,0,1,19,1,0
7,1147.66,2,1,0,56,2,0
20,1653.13,1,0,0,67,2,0
15,1873.51,2,1,1,64,4,0
12,1737.89,3,0,0,54,2,0
17,2225.07,2,1,1,49,0,0
14,5893.78,1,0,1,57,5,0
20,2997.36,3,0,1,37,4,0
23,52.31,0,0,0,45,0,0
12,569.68,0,1,1,63,2,0
8,1287.51,1,1,1,28,5,0
14,8930.36,2,0,0,52,5,0
12,243.89,2,1,1,30,4,0
0,3714.86,2,0,0,56,0,0
6,100.96,0,0,1,49,3,0
8,1350.78,3,0,0,50,1,0
23,4410.97,0,0,1,40,0,0
0,1264.46,0,1,1,31,1,0
11,1687.84,2,1,0,65,4,1
7,7071.27,3,0,1,28,3,0
23,205.38,3,0,0,25,3,0
10,2250.18,3,0,0,37,5,0
18,1368.24,0,0,0,37,0,0
16,9957.06,3,1,1,24,1,0
7,4735.12,0,0,1,56,3,0
2,390.59,2,1,0,67,4,0
2,7868.77,1,1,0,37,4,1
0,711.78,0,1,0,42,4,0
4,265.9,0,1,1,43,1,0
9,2340.0,2,1,0,39,5,0
