transaction_id,transaction_time,transaction_amount,location,device_type,channel,card_present,customer_age,merchant_category,is_fraud
TXN000000,6,1728.21,Delhi,POS,Online,No,55,Electronics,0
TXN000001,19,2528.32,Chennai,POS,Online,Yes,21,Electronics,0
TXN000002,14,114.93,Hyderabad,Tablet,POS,Yes,50,Food,0
TXN000003,10,526.77,Bangalore,POS,POS,Yes,44,Travel,0
TXN000004,7,895.75,Bangalore,POS,Online,Yes,52,Clothing,0
TXN000005,20,3821.33,Bangalore,Tablet,Online,No,35,Grocery,0
TXN000006,6,8427.44,Delhi,Tablet,Online,Yes,50,Food,0
TXN000007,18,2938.77,Chennai,Tablet,Online,No,48,Entertainment,0
TXN000008,22,2481.14,Delhi,POS,POS,No,46,Entertainment,0
TXN000009,10,2308.52,Kolkata,POS,Online,No,46,Entertainment,0
TXN000010,10,1295.6,Hyderabad,Mobile,POS,No,63,Entertainment,0
TXN000011,23,5275.8,Mumbai,Desktop,Online,Yes,52,Food,0
TXN000012,20,2334.6,Chennai,Mobile,Online,No,36,Food,0
TXN000013,3,784.5,Hyderabad,Mobile,POS,Yes,56,Food,0
TXN000014,7,441.44,Hyderabad,Desktop,POS,No,66,Grocery,0
TXN000015,23,12703.41,Chennai,Mobile,POS,No,18,Grocery,0
TXN000016,2,52.88,Delhi,Mobile,Online,No,32,Electronics,0
TXN000017,21,8128.96,Kolkata,Tablet,Online,Yes,50,Food,0
TXN000018,20,738.87,Chennai,Mobile,Online,Yes,64,Travel,0
TXN000019,1,3214.88,Kolkata,POS,Online,No,68,Electronics,0
TXN000020,23,1076.6,Mumbai,Tablet,Online,Yes,33,Electronics,0
TXN000021,11,5894.28,Chennai,Mobile,Online,No,30,Clothing,0
TXN000022,5,2352.14,Hyderabad,POS,Online,No,62,Entertainment,1
TXN000023,1,456.16,Hyderabad,Desktop,POS,No,46,Entertainment,0
TXN000024,20,943.45,Kolkata,POS,POS,No,37,Grocery,0
TXN000025,0,1158.39,Kolkata,Mobile,POS,No,41,Electronics,0
TXN000026,11,6512.63,Kolkata,Desktop,POS,No,27,Electronics,0
TXN000027,21,4366.78,Kolkata,Tablet,POS,No,67,Entertainment,0
TXN000028,11,5308.6,Hyderabad,Tablet,POS,Yes,66,Grocery,0
TXN000029,16,161.0,Delhi,Tablet,POS,No,38,Electronics,0
TXN000030,9,2593.82,Chennai,Mobile,Online,Yes,39,Entertainment,0
TXN000031,15,21307.41,Delhi,Desktop,POS,No,40,Clothing,0
TXN000032,14,4614.14,Kolkata,POS,Online,Yes,56,Entertainment,0
